OurAirports_name,icao,iata,countryLabel,lat,lon,filename
Tancredo Neves International Airport,SBCF,CNF,Brazil,-19.62388889,-43.97138889,mapbox_-19.62388889_-43.97138889_118.png
Viracopos International Airport,SBKP,VCP,Brazil,-23.00694444,-47.13444444,mapbox_-23.00694444_-47.13444444_119.png
Brunei International Airport,WBSB,BWN,Brunei,4.945277777,114.9336111,mapbox_4.945277777_114.9336111_120.png
Burgas Airport,LBBG,BOJ,Bulgaria,42.57027778,27.51527778,mapbox_42.57027778_27.51527778_121.png
Plovdiv International Airport,LBPD,PDV,Bulgaria,42.067778,24.850833,mapbox_42.067778_24.850833_122.png
Sofia Airport,LBSF,SOF,Bulgaria,42.695,23.40833333,mapbox_42.695_23.40833333_123.png
Varna Airport,LBWN,VAR,Bulgaria,43.23194444,27.82527778,mapbox_43.23194444_27.82527778_124.png
Bobo Dioulasso Airport,DFOO,BOY,Burkina Faso,11.16,-4.330833,mapbox_11.16_-4.330833_125.png
Bujumbura Melchior Ndadaye International Airport,HBBA,BJM,Burundi,-3.324019444,29.31851944,mapbox_-3.324019444_29.31851944_126.png
Phnom Penh International Airport,VDPP,PNH,Cambodia,11.54638889,104.8438889,mapbox_11.54638889_104.8438889_127.png
Techo International Airport,VDTI,KTI,Cambodia,11.362917,104.916611,mapbox_11.362917_104.916611_128.png
Siem Reap-Angkor International Airport,VDSA,SAI,Cambodia,13.36916667,104.2230556,mapbox_13.36916667_104.2230556_130.png
Sihanouk International Airport,VDSV,KOS,Cambodia,10.58,103.6369444,mapbox_10.58_103.6369444_131.png
Douala International Airport,FKKD,DLA,Cameroon,4.005833333,9.719444444,mapbox_4.005833333_9.719444444_132.png
Garoua International Airport,FKKR,GOU,Cameroon,9.335833333,13.37,mapbox_9.335833333_13.37_133.png
Yaoundé Nsimalen International Airport,FKYS,NSI,Cameroon,3.7225,11.553333,mapbox_3.7225_11.553333_134.png
Calgary International Airport,CYYC,YYC,Canada,51.113889,-114.020278,mapbox_51.113889_-114.020278_136.png
Edmonton International Airport,CYEG,YEG,Canada,53.31,-113.5794444,mapbox_53.31_-113.5794444_138.png
Halifax / Stanfield International Airport,CYHZ,YHZ,Canada,44.8797,-63.5103,mapbox_44.8797_-63.5103_144.png
Kelowna International Airport,CYLW,YLW,Canada,49.9572,-119.378,mapbox_49.9572_-119.378_146.png
Montreal / Pierre Elliott Trudeau International Airport,CYUL,YUL,Canada,45.4706,-73.7408,mapbox_45.4706_-73.7408_150.png
Ottawa Macdonald-Cartier International Airport,CYOW,YOW,Canada,45.3225,-75.6672,mapbox_45.3225_-75.6672_151.png
Quebec Jean Lesage International Airport,CYQB,YQB,Canada,46.8,-71.383333,mapbox_46.8_-71.383333_152.png
Saskatoon John G. Diefenbaker International Airport,CYXE,YXE,Canada,52.1708,-106.7,mapbox_52.1708_-106.7_155.png
St. John's International Airport,CYYT,YYT,Canada,47.61861111,-52.7525,mapbox_47.61861111_-52.7525_156.png
Toronto Pearson International Airport,CYYZ,YYZ,Canada,43.6767,-79.6306,mapbox_43.6767_-79.6306_159.png
Vancouver International Airport,CYVR,YVR,Canada,49.1947,-123.184,mapbox_49.1947_-123.184_160.png
Victoria International Airport,CYYJ,YYJ,Canada,48.6472,-123.426,mapbox_48.6472_-123.426_161.png
Winnipeg / James Armstrong Richardson International Airport,CYWG,YWG,Canada,49.91,-97.24,mapbox_49.91_-97.24_163.png
Amílcar Cabral International Airport,GVAC,SID,Cape Verde,16.73758889,-22.95001667,mapbox_16.73758889_-22.95001667_164.png
Aristides Pereira International Airport,GVBA,BVC,Cape Verde,16.13722222,-22.88861111,mapbox_16.13722222_-22.88861111_165.png
Cesaria Evora International Airport,GVSV,VXE,Cape Verde,16.83361111,-25.05472222,mapbox_16.83361111_-25.05472222_166.png
Nelson Mandela International Airport,GVNP,RAI,Cape Verde,14.94111111,-23.48472222,mapbox_14.94111111_-23.48472222_168.png
Bangui M'Poko International Airport,FEFF,BGF,Central African Republic,4.3985,18.5188,mapbox_4.3985_18.5188_170.png
